date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2022-04-18,,12344506.0,54.25,54.25,44.0,46.0,4358880,0.0,0.0,567847276.0
2022-04-19,,12394675.94736842,44.25,45.25,42.0,42.25,2857852,0.0,0.0,523675058.77631575
2022-04-20,,12444845.894736841,41.5,41.75,33.5,35.25,4780244,0.0,0.0,438680817.78947365
2022-04-21,,12495015.842105264,41.0,41.25,33.25,35.0,4941712,0.0,0.0,437325554.47368425
2022-04-22,,12545185.789473685,34.0,38.75,33.25,37.0,2585360,0.0,0.0,464171874.21052635
2022-04-25,,12595355.736842105,34.5,38.5,34.0,34.75,2559496,0.0,0.0,437688611.8552632
2022-04-26,,12645525.684210526,35.0,35.75,31.25,32.25,2040556,0.0,0.0,407818203.31578946
2022-04-27,,12695695.631578948,31.5,35.5,31.25,33.75,1615572,0.0,0.0,428479727.5657895
2022-04-28,,12745865.578947369,34.25,34.75,32.5,34.0,1230020,0.0,0.0,433359429.68421054
2022-04-29,,12796035.52631579,33.5,36.25,32.0,33.0,1376908,0.0,0.0,422269172.3684211
2022-05-02,,12846205.47368421,33.75,34.25,30.0,32.25,1725112,0.0,0.0,414290126.5263158
2022-05-03,,12896375.421052631,32.25,33.75,31.25,33.25,1750168,0.0,0.0,428804482.75
2022-05-04,,12946545.368421052,32.75,32.75,30.25,32.25,1700336,0.0,0.0,417526088.1315789
2022-05-05,,12996715.315789474,32.25,37.25,30.75,32.75,3783296,0.0,0.0,425642426.59210527
2022-05-06,,13046885.263157895,32.0,32.25,29.25,30.0,2071068,0.0,0.0,391406557.8947368
2022-05-09,,13097055.210526315,28.5,29.0,25.75,27.0,1702372,0.0,0.0,353620490.68421054
2022-05-10,,13147225.157894736,28.5,28.5,23.5,23.75,2337408,0.0,0.0,312246597.5
2022-05-11,,13197395.105263159,22.5,23.25,19.75,20.0,2468252,0.0,0.0,263947902.10526317
2022-05-12,,13247565.05263158,19.5,24.0,19.0,21.75,2856972,0.0,0.0,288134539.8947368
2022-05-13,332443385.0,13297735.0,25.5,27.0,23.0,24.75,4583256,0.0,0.0,329118941.25
2022-05-16,,13415635.733333332,25.75,29.5,24.75,29.25,2656080,0.0,0.0,392407345.2
2022-05-17,,13533536.466666667,30.0,31.25,27.0,28.5,2266728,0.0,0.0,385705789.3
2022-05-18,,13651437.2,26.75,28.5,25.75,26.25,1633044,0.0,0.0,358350226.5
2022-05-19,,13769337.933333334,25.25,27.25,24.5,25.5,1717496,0.0,0.0,351118117.3
2022-05-20,,13887238.666666666,25.75,27.5,24.5,27.5,2048580,0.0,0.0,381899063.3333333
2022-05-23,,14005139.4,26.75,26.75,25.0,26.25,1238716,0.0,0.0,367634909.25
2022-05-24,,14123040.133333333,25.5,26.0,23.75,25.0,1235328,0.0,0.0,353076003.3333333
2022-05-25,,14240940.866666667,24.75,26.0,24.75,25.5,1081284,0.0,0.0,363143992.1
2022-05-26,,14358841.6,25.0,26.25,24.5,24.5,1315008,0.0,0.0,351791619.2
2022-05-27,,14476742.333333334,25.0,25.75,23.75,24.25,1494256,0.0,0.0,351061001.5833334
2022-05-31,,14594643.066666666,30.5,39.0,29.25,35.0,12507476,0.0,0.0,510812507.3333333
2022-06-01,,14712543.8,37.25,42.0,35.0,35.5,9328672,0.0,0.0,522295304.90000004
2022-06-02,,14830444.533333333,32.0,33.25,30.0,30.75,3569840,0.0,0.0,456036169.4
2022-06-03,,14948345.266666666,32.25,35.0,31.0,31.75,3823584,0.0,0.0,474609962.21666664
2022-06-06,,15066246.0,35.75,38.5,33.75,34.5,4830984,0.0,0.0,519785487.0
2022-06-07,,15184146.733333334,32.75,34.25,32.0,33.5,2183712,0.0,0.0,508668915.5666667
