date,insider,insider_first,insider_last,insider_full_name,insider_position,transaction,type,value,shares,shares_owned,sale_price_per_share,cumulative_sales_value,cumulative_shares,Open,High,Low,Close,Volume,Dividends,Stock Splits,post_reverse_split_shares,days_since_start,cumulative_salary,total_compensation,holdings_market_value,net_worth
2022-12-07,,,,,,,,,,,,2806867.0,79501322.0,4.5,5.0,4.5,4.75,4618268,0.0,0.0,3180052.88,387,795203.73,3602070.73,15105251.18,18707321.91
2022-12-08,,,,,,,,,,,,2806867.0,79501322.0,5.0,5.25,4.75,4.75,5545192,0.0,0.0,3180052.88,388,797258.52,3604125.52,15105251.18,18709376.7
2022-12-09,,,,,,,,,,,,2806867.0,79501322.0,5.0,5.0,4.75,5.0,4110984,0.0,0.0,3180052.88,389,799313.3099999999,3606180.31,15900264.399999999,19506444.709999997
2022-12-12,,,,,,,,,,,,2806867.0,79501322.0,5.0,5.0,4.75,4.75,3456160,0.0,0.0,3180052.88,392,805477.6799999999,3612344.6799999997,15105251.18,18717595.86
2022-12-13,,,,,,,,,,,,2806867.0,79501322.0,5.25,5.75,5.0,5.25,9906168,0.0,0.0,3180052.88,393,807532.47,3614399.4699999997,16695277.62,20309677.09
2022-12-14,,,,,,,,,,,,2806867.0,79501322.0,5.75,6.75,5.75,6.5,16277484,0.0,0.0,3180052.88,394,809587.26,3616454.26,20670343.72,24286797.979999997
2022-12-15,,,,,,,,,,,,2806867.0,79501322.0,8.0,10.0,6.75,7.75,25203916,0.0,0.0,3180052.88,395,811642.0499999999,3618509.05,24645409.82,28263918.87
2022-12-16,,,,,,,,,,,,2806867.0,79501322.0,8.25,8.5,7.0,7.5,13877028,0.0,0.0,3180052.88,396,813696.84,3620563.84,23850396.599999998,27470960.439999998
2022-12-19,,,,,,,,,,,,2806867.0,79501322.0,7.25,7.25,6.5,6.75,6547164,0.0,0.0,3180052.88,399,819861.21,3626728.21,21465356.939999998,25092085.15
2022-12-20,,,,,,,,,,,,2806867.0,79501322.0,6.5,6.5,5.5,5.75,9140376,0.0,0.0,3180052.88,400,821916.0,3628783.0,18285304.06,21914087.06
2022-12-21,,,,,,,,,,,,2806867.0,79501322.0,5.5,6.0,5.25,5.5,5953988,0.0,0.0,3180052.88,401,823970.79,3630837.79,17490290.84,21121128.63
2022-12-22,,,,,,,,,,,,2806867.0,79501322.0,6.25,6.5,5.75,5.75,6792124,0.0,0.0,3180052.88,402,826025.58,3632892.58,18285304.06,21918196.64
2022-12-23,,,,,,,,,,,,2806867.0,79501322.0,6.0,6.0,5.5,5.75,5016236,0.0,0.0,3180052.88,403,828080.37,3634947.37,18285304.06,21920251.43
2022-12-27,,,,,,,,,,,,2806867.0,79501322.0,5.5,5.75,5.25,5.5,4310812,0.0,0.0,3180052.88,407,836299.53,3643166.5300000003,17490290.84,21133457.37
2022-12-28,,,,,,,,,,,,2806867.0,79501322.0,5.25,5.5,5.0,5.25,4755636,0.0,0.0,3180052.88,408,838354.32,3645221.32,16695277.62,20340498.939999998
2022-12-29,,,,,,,,,,,,2806867.0,79501322.0,5.75,6.75,5.5,6.5,8895940,0.0,0.0,3180052.88,409,840409.11,3647276.11,20670343.72,24317619.83
2022-12-30,,,,,,,,,,,,2806867.0,79501322.0,6.5,7.75,6.5,7.25,8325968,0.0,0.0,3180052.88,410,842463.9,3649330.9,23055383.38,26704714.279999997
2023-01-03,,,,,,,,,,,,2806867.0,79501322.0,8.0,8.25,7.25,8.0,8868112,0.0,0.0,3180052.88,414,850683.0599999999,3657550.06,25440423.04,29097973.099999998
2023-01-04,,,,,,,,,,,,2806867.0,79501322.0,7.75,8.5,7.0,8.5,8378784,0.0,0.0,3180052.88,415,852737.85,3659604.85,27030449.48,30690054.330000002
2023-01-05,,,,,,,,,,,,2806867.0,79501322.0,8.75,11.25,8.5,10.5,21657496,0.0,0.0,3180052.88,416,854792.64,3661659.64,33390555.24,37052214.879999995
2023-01-06,,,,,,,,,,,,2806867.0,79501322.0,10.25,12.0,9.25,9.5,23639784,0.0,0.0,3180052.88,417,856847.4299999999,3663714.4299999997,30210502.36,33874216.79
2023-01-09,,,,,,,,,,,,2806867.0,79501322.0,8.75,10.0,8.25,9.25,9323240,0.0,0.0,3180052.88,420,863011.7999999999,3669878.8,29415489.14,33085367.94
2023-01-10,,,,,,,,,,,,2806867.0,79501322.0,9.25,9.75,9.0,9.5,6393864,0.0,0.0,3180052.88,421,865066.59,3671933.59,30210502.36,33882435.95
2023-01-11,,,,,,,,,,,,2806867.0,79501322.0,9.75,10.25,9.5,10.0,7999676,0.0,0.0,3180052.88,422,867121.38,3673988.38,31800528.799999997,35474517.18
2023-01-12,,,,,,,,,,,,2806867.0,79501322.0,10.0,10.25,9.0,9.75,9121536,0.0,0.0,3180052.88,423,869176.17,3676043.17,31005515.58,34681558.75
2023-01-13,,,,,,,,,,,,2806867.0,79501322.0,9.5,9.75,8.75,9.0,8498560,0.0,0.0,3180052.88,424,871230.96,3678097.96,28620475.919999998,32298573.88
2023-01-17,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Other,Direct,0.0,-1456779.0,78044543.0,,2806867.0,78044543.0,7.75,8.75,7.5,7.5,9936116,0.0,0.0,3121781.72,428,879450.12,3686317.12,23413362.900000002,27099680.020000003
2023-01-18,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,Direct,0.0,33873263.0,111917806.0,,2806867.0,111917806.0,7.75,8.0,7.0,7.0,7777708,0.0,0.0,4476712.24,429,881504.91,3688371.91,31336985.68,35025357.59
2023-01-19,,,,,,,,,,,,2806867.0,111917806.0,6.75,7.0,6.25,6.75,7490876,0.0,0.0,4476712.24,430,883559.7,3690426.7,30217807.62,33908234.32
2023-01-20,,,,,,,,,,,,2806867.0,111917806.0,7.0,8.0,6.5,7.5,11245552,0.0,0.0,4476712.24,431,885614.49,3692481.49,33575341.800000004,37267823.29000001
2023-01-23,,,,,,,,,,,,2806867.0,111917806.0,7.5,8.0,7.5,7.5,7559276,0.0,0.0,4476712.24,434,891778.86,3698645.86,33575341.800000004,37273987.660000004
2023-01-24,,,,,,,,,,,,2806867.0,111917806.0,7.5,7.75,7.25,7.25,7122124,0.0,0.0,4476712.24,435,893833.65,3700700.65,32456163.740000002,36156864.39
2023-01-25,,,,,,,,,,,,2806867.0,111917806.0,7.25,9.0,7.0,8.75,16211528,0.0,0.0,4476712.24,436,895888.44,3702755.44,39171232.1,42873987.54
2023-01-26,,,,,,,,,,,,2806867.0,111917806.0,8.75,9.0,8.0,8.0,9235104,0.0,0.0,4476712.24,437,897943.23,3704810.23,35813697.92,39518508.15
2023-01-27,,,,,,,,,,,,2806867.0,111917806.0,8.0,8.75,8.0,8.25,9888060,0.0,0.0,4476712.24,438,899998.02,3706865.02,36932875.980000004,40639741.00000001
2023-01-30,,,,,,,,,,,,2806867.0,111917806.0,8.25,8.5,8.0,8.25,4741008,0.0,0.0,4476712.24,441,906162.39,3713029.39,36932875.980000004,40645905.370000005
2023-01-31,,,,,,,,,,,,2806867.0,111917806.0,8.25,9.0,8.25,8.5,8722352,0.0,0.0,4476712.24,442,908217.1799999999,3715084.1799999997,38052054.04,41767138.22
2023-02-01,,,,,,,,,,,,2806867.0,111917806.0,8.5,9.0,8.25,8.75,6038536,0.0,0.0,4476712.24,443,910271.97,3717138.9699999997,39171232.1,42888371.07
2023-02-02,,,,,,,,,,,,2806867.0,111917806.0,9.5,10.25,9.0,9.5,11626380,0.0,0.0,4476712.24,444,912326.76,3719193.76,42528766.28,46247960.04
2023-02-03,,,,,,,,,,,,2806867.0,111917806.0,10.25,11.25,9.75,10.25,11268192,0.0,0.0,4476712.24,445,914381.5499999999,3721248.55,45886300.46,49607549.01
2023-02-06,,,,,,,,,,,,2806867.0,111917806.0,10.75,11.25,10.25,10.5,6182892,0.0,0.0,4476712.24,448,920545.9199999999,3727412.92,47005478.52,50732891.440000005
